loan_amnt,int_rate,fico_score,annual_inc,dti,emp_length,home_ownership,purpose,term,grade,loan_status,issue_date,installment
18973,9.29,648,20000,11.23,0,RENT,home_improvement,60 months,F,Fully Paid,2021-02-15,396.52
13893,10.78,800,28609,23.1,4,OWN,other,36 months,B,Fully Paid,2020-02-16,453.39
20181,9.61,617,39698,13.41,9,MORTGAGE,other,36 months,F,Fully Paid,2021-03-10,647.5
27184,12.44,713,66487,15.72,9,RENT,small_business,60 months,D,Fully Paid,2022-08-06,610.75
13126,16.79,720,122628,20.74,1,MORTGAGE,other,36 months,C,Fully Paid,2020-10-01,466.61
13126,8.92,808,97333,14.53,1,MORTGAGE,debt_consolidation,36 months,A,Fully Paid,2022-02-26,416.91
27633,16.0,702,26225,0.46,0,MORTGAGE,other,36 months,C,Fully Paid,2021-08-18,971.49
21139,8.87,746,46156,23.32,9,RENT,debt_consolidation,36 months,C,Fully Paid,2022-11-05,670.94
11244,8.61,748,63162,25.04,1,RENT,debt_consolidation,60 months,D,Fully Paid,2020-10-22,231.28
19340,15.27,729,49834,0.35,1,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2022-01-11,672.99
11292,15.69,589,49587,6.65,2,MORTGAGE,home_improvement,36 months,G,Charged Off,2020-09-08,395.27
11274,15.41,813,20000,31.19,9,MORTGAGE,debt_consolidation,36 months,A,Fully Paid,2022-08-26,393.08
16935,6.74,643,26717,16.86,7,MORTGAGE,debt_consolidation,36 months,F,Fully Paid,2022-07-06,520.89
1000,10.14,788,45158,15.03,6,RENT,credit_card,60 months,B,Fully Paid,2021-02-02,21.32
1200,15.29,761,20000,11.59,8,RENT,debt_consolidation,36 months,C,Fully Paid,2021-03-16,41.77
10501,12.17,700,93756,6.75,7,RENT,debt_consolidation,60 months,E,Fully Paid,2020-02-14,234.49
6897,7.71,709,22905,13.44,7,OWN,credit_card,36 months,D,Fully Paid,2022-02-20,215.21
17513,13.83,686,96837,22.8,1,OWN,debt_consolidation,36 months,F,Fully Paid,2021-06-20,597.11
7735,9.14,635,91057,14.87,6,MORTGAGE,credit_card,36 months,G,Fully Paid,2021-09-10,246.48
3701,19.18,725,40921,19.88,8,RENT,credit_card,36 months,C,Fully Paid,2021-12-13,136.0
26725,18.18,726,120618,29.13,6,MORTGAGE,other,36 months,C,Charged Off,2022-08-12,968.59
13193,14.42,796,100733,10.36,0,RENT,small_business,60 months,B,Fully Paid,2021-12-22,309.86
15540,17.44,783,48229,17.42,2,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2021-06-23,557.45
3602,12.26,755,44567,23.04,10,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2022-03-07,120.09
10644,15.06,702,129063,7.54,7,RENT,other,60 months,D,Fully Paid,2022-09-23,253.56
15887,17.91,738,70432,16.42,7,MORTGAGE,credit_card,36 months,C,Fully Paid,2020-06-06,573.64
5792,12.98,726,124403,29.98,7,RENT,home_improvement,36 months,D,Fully Paid,2020-08-19,195.1
18005,10.98,675,20000,12.28,1,MORTGAGE,credit_card,60 months,E,Fully Paid,2021-01-12,391.29
10194,5.18,706,64147,23.55,0,RENT,home_improvement,36 months,E,Fully Paid,2020-12-13,306.35
12666,11.67,807,20000,13.87,4,MORTGAGE,debt_consolidation,60 months,A,Fully Paid,2021-09-17,279.64
10186,15.29,707,58802,29.4,4,MORTGAGE,home_improvement,36 months,E,Fully Paid,2020-09-01,354.55
29818,15.78,717,98683,1.84,8,RENT,small_business,36 months,C,Fully Paid,2020-03-22,1045.08
14892,14.02,680,200000,15.52,2,OWN,debt_consolidation,36 months,F,Fully Paid,2020-06-07,509.12
6538,9.83,673,31047,3.17,3,OWN,debt_consolidation,60 months,F,Fully Paid,2022-05-14,138.37
21580,5.0,741,41440,9.39,1,MORTGAGE,credit_card,36 months,C,Fully Paid,2020-06-22,646.77
5233,10.02,699,56001,9.35,4,MORTGAGE,small_business,36 months,D,Fully Paid,2020-07-28,168.9
16670,10.78,706,30267,12.86,3,OWN,other,36 months,E,Fully Paid,2020-02-28,544.02
1000,10.75,760,118775,5.49,3,MORTGAGE,credit_card,60 months,B,Fully Paid,2022-09-20,21.62
4374,14.47,739,57007,14.43,3,RENT,credit_card,36 months,C,Fully Paid,2021-01-25,150.49
16574,19.94,780,65210,18.68,2,RENT,small_business,60 months,B,Fully Paid,2021-01-24,438.56
20907,12.49,777,92422,2.74,3,MORTGAGE,debt_consolidation,60 months,A,Fully Paid,2020-09-01,470.26
16370,11.13,706,56942,9.92,5,MORTGAGE,major_purchase,36 months,D,Fully Paid,2022-04-05,536.94
14074,10.96,721,33783,35.33,4,OWN,debt_consolidation,60 months,C,Fully Paid,2022-12-05,305.72
12591,12.5,738,57290,17.63,1,MORTGAGE,credit_card,60 months,B,Fully Paid,2020-12-21,283.27
3171,8.69,811,32881,0.46,4,MORTGAGE,other,60 months,B,Fully Paid,2020-12-14,65.35
