loan_amnt,int_rate,fico_score,annual_inc,dti,emp_length,home_ownership,purpose,term,grade,loan_status,issue_date,installment,issue_year,issue_month,issue_quarter,term_months,home_ownership_MORTGAGE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_major_purchase,purpose_other,purpose_small_business,loan_to_income,payment_to_income,fico_category,is_default
18973.0,9.29,648,20000,11.23,0,RENT,home_improvement,60 months,F,Fully Paid,,396.52,,,,60.0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,0.94865,0.23791199999999998,Fair,0
13893.0,10.78,800,28609,23.1,4,OWN,other,36 months,B,Fully Paid,,453.39,,,,36.0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.4856164144150442,0.19017372155615367,Very Good,0
20181.0,9.61,617,39698,13.41,9,MORTGAGE,other,36 months,F,Fully Paid,,647.5,,,,36.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.5083631417199859,0.1957277444707542,Fair,0
27184.0,12.44,713,66487,15.72,9,RENT,small_business,60 months,D,Fully Paid,,610.75,,,,60.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.40886188277407615,0.11023207544331974,Good,0
13126.0,16.79,720,122628,20.74,1,MORTGAGE,other,36 months,C,Fully Paid,,466.61,,,,36.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0.10703917539224321,0.04566102358352089,Good,0
13126.0,8.92,808,97333,14.53,1,MORTGAGE,debt_consolidation,36 months,A,Fully Paid,,416.91,,,,36.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.1348566262213227,0.05140003904122959,Exceptional,0
27633.0,16.0,702,26225,0.46,0,MORTGAGE,other,36 months,C,Fully Paid,,971.49,,,,36.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1.0536892278360344,0.4445330791229743,Good,0
21139.0,8.87,746,46156,23.32,9,RENT,debt_consolidation,36 months,C,Fully Paid,,670.94,,,,36.0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,0.45799029378628997,0.17443625964121676,Very Good,0
11244.0,8.61,748,63162,25.04,1,RENT,debt_consolidation,60 months,D,Fully Paid,,231.28,,,,60.0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,0.17801842880212787,0.043940343877647954,Very Good,0
19340.0,15.27,729,49834,0.35,1,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,,672.99,,,,36.0,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.3880884536661717,0.1620556246739174,Good,0
